,CDU2KEROFL
2015-01-29 17:00,43.5
2015-01-30 7:00,45
2015-01-31 7:00,42.5
2015-02-01 7:00,43
2015-02-01 12:00,37.5
2015-02-02 14:00,33.5
2015-02-03 7:00,33
2015-02-04 7:00,34
2015-02-05 7:00,32
2015-02-06 7:00,36.5
2015-02-06 14:00,41.5
2015-02-07 7:00,44.5
2015-02-08 7:00,44
2015-02-08 14:00,36
2015-02-09 19:00,36
2015-02-10 7:00,39
2015-02-11 7:00,37
2015-02-12 9:30,31
2015-02-13 7:00,33.5
2015-02-14 7:00,35
2015-02-14 19:00,40.5
2015-02-15 7:00,41.5
2015-02-16 7:00,43
2015-02-17 7:00,43
2015-02-18 10:00,46.5
2015-02-19 7:00,42
2015-02-20 7:00,42
2015-02-21 7:00,46.5
2015-02-21 14:00,46
2015-02-22 7:00,44.5
2015-02-23 14:00,46
2015-02-24 7:00,44.5
2015-02-24 12:00,38
2015-02-25 7:00,35.5
2015-02-26 7:00,34
2015-02-27 7:00,36
2015-02-28 7:00,36
2015-03-01 7:00,33
2015-03-02 7:00,34.5
2015-03-02 18:00,34
2015-03-03 7:00,34.5
2015-03-04 7:00,34.5
2015-03-04 15:00,52
2015-03-05 7:00,52
2015-03-06 7:00,53
2015-03-06 19:00,60
2015-03-06 22:00,60
2015-03-07 7:00,61
2015-03-07 14:00,61
2015-03-08 7:00,63
2015-03-09 7:00,64
2015-03-10 7:00,62
2015-03-10 17:00,63
2015-03-11 7:00,61
2015-03-11 16:00,47.5
2015-03-12 7:00,47.5
2015-03-13 7:00,46
2015-03-13 17:00,45.5
2015-03-14 7:00,44.5
2015-03-15 7:00,43.5
2015-03-16 14:00,44
2015-03-16 23:00,37.5
2015-03-17 7:00,38
2015-03-18 7:00,34
2015-03-19 14:00,37
2015-03-20 7:00,33
2015-03-21 7:00,32
2015-03-22 8:00,34
2015-03-23 7:00,34.5
2015-03-24 14:00,35
2015-03-25 7:00,34
2015-03-26 14:00,37.5
2015-03-27 7:00,38.5
2015-03-28 7:00,37
2015-03-29 7:00,38
2015-03-30 7:00,36
2015-03-31 7:00,35
2015-03-31 11:00,43.5
2015-03-31 14:00,42
2015-04-01 14:00,44.5
2015-04-02 7:00,42.5
2015-04-03 9:00,47
2015-04-03 14:00,46.5
2015-04-03 22:00,39
2015-04-04 7:00,38
2015-04-05 7:00,37.5
2015-04-05 18:00,44.5
2015-04-05 22:00,44
2015-04-06 10:00,43
2015-04-07 7:00,43.5
2015-04-08 7:00,41
2015-04-09 7:00,41
2015-04-10 7:00,43.5
2015-04-11 6:00,39.5
2015-04-12 7:00,36
2015-04-13 16:30,34
2015-04-14 7:00,34
2015-04-15 7:00,32
2015-04-15 22:00,34.5
2015-04-16 7:00,37
2015-04-17 10:30,34.5
2015-04-18 7:00,34
2015-04-19 7:00,36
2015-04-20 7:00,36
2015-04-21 14:00,36
2015-04-22 7:00,34.5
2015-04-23 14:00,34
2015-04-24 7:00,38
2015-04-25 15:30,38
2015-04-26 7:00,39.5
2015-04-27 7:00,38
2015-04-28 7:00,39
2015-04-28 11:00,62
2015-04-29 7:00,65
2015-04-30 7:00,65
2015-04-30 17:00,66
2015-04-30 22:00,64
2015-05-01 7:00,65
2015-05-01 22:00,66
2015-05-02 7:00,61
2015-05-02 18:00,61
2015-05-03 1:30,46
2015-05-03 7:00,44.5
2015-05-04 7:00,43.5
2015-05-04 11:00,34.5
2015-05-05 7:00,35
2015-05-06 14:00,36
2015-05-07 7:00,33.5
2015-05-07 14:00,43
2015-05-07 17:00,44.5
2015-05-08 7:00,44
2015-05-09 14:00,42
2015-05-09 22:00,54
2015-05-10 7:00,54.5
2015-05-11 7:00,53.5
2015-05-12 7:00,52.5
2015-05-12 11:00,42.5
2015-05-12 22:00,44.5
2015-05-13 7:00,45
2015-05-13 14:00,45.5
2015-05-14 7:00,46
2015-05-15 7:00,44
2015-05-16 10:00,46.5
2015-05-16 19:00,54
2015-05-17 7:00,52.5
2015-05-18 7:00,53
2015-05-19 7:00,57
2015-05-19 12:00,43.5
2015-05-19 17:00,43
2015-05-20 7:00,42
2015-05-21 7:00,43.5
2015-05-21 22:00,37
2015-05-22 7:00,41.5
2015-05-22 23:30,53.5
2015-05-23 7:00,54.5
2015-05-24 7:00,52.5
2015-05-25 7:00,58
2015-05-26 7:00,56
2015-05-27 7:00,53.5
2015-05-28 7:00,55
2015-05-28 16:00,55.5
2015-05-29 7:00,54
2015-05-30 7:00,53
2015-05-30 14:00,40.5
2015-05-31 7:00,37.5
2015-06-01 11:00,38.5
2015-06-02 7:00,35.5
2015-06-02 22:00,43.5
2015-06-03 7:00,43
2015-06-03 22:00,45
2015-06-04 7:00,44
2015-06-05 7:00,44
2015-06-05 22:00,46.5
2015-06-06 7:00,44
2015-06-06 14:00,54
2015-06-07 7:00,54
2015-06-13 14:00,33
2015-06-13 15:00,33.5
2015-06-13 16:30,36.5
2015-06-14 14:00,36
2015-06-15 0:00,46.5
2015-06-15 2:20,54
2015-06-15 8:00,55
2015-06-16 7:00,51.5
2015-06-17 9:30,52
2015-06-17 19:00,38.5
2015-06-18 16:30,38.5
2015-06-19 7:00,38.5
2015-06-19 18:30,41
2015-06-20 14:00,44
2015-06-21 7:00,41
2015-06-22 16:00,43.5
2015-06-23 7:00,40.5
2015-06-24 7:00,41.5
2015-06-24 16:30,41.5
2015-06-25 7:00,40.5
2015-06-26 7:00,41.5
2015-06-26 17:00,43.5
2015-06-27 7:00,42.5
2015-06-27 14:00,53
2015-06-28 7:00,53
2015-06-28 20:00,53
2015-06-29 7:00,52
2015-06-30 7:00,55
2015-06-30 17:00,50
2015-07-01 7:00,50
2015-07-01 14:00,40
2015-07-02 7:00,33
2015-07-03 7:00,38.5
2015-07-03 19:00,39
2015-07-04 4:00,60
2015-07-04 7:00,61
2015-07-05 7:00,61
2015-07-06 7:00,62
2015-07-07 9:00,62
2015-07-08 7:00,61
2015-07-09 7:00,62
2015-07-10 7:00,61
2015-07-10 17:00,59
2015-07-11 7:00,60
2015-07-11 11:30,61
2015-07-12 7:00,63
2015-07-13 0:00,47.5
2015-07-13 7:00,45.5
2015-07-13 16:00,41.5
2015-07-14 7:00,42
2015-07-15 7:00,39.5
2015-07-15 22:00,44
2015-07-16 7:00,45
